,book#,booktitle,index,sentence#,sentences,economics,history,philosophy,psychology,science,technology
0,1,Computational Thinking,0,0,['An introduction to computational thinking that traces a genealogy beginning centuries before the digital computer,0.08217284083366394,0.1441783905029297,0.4079122841358185,0.4926425218582153,0.7643818259239197,0.208074763417244
1,1,Computational Thinking,1,1,"A few decades into the digital era, scientists discovered that thinking in terms of computation made possible an entirely new way of organizing scientific investigation; eventually, every field had a computational branch: computational physics, computational biAn introduction to computational thinking that traces a genealogy beginning centuries before the digital computer",0.08653709292411804,0.1482703983783722,0.3808695077896118,0.4944186210632324,0.7569829225540161,0.20124894380569455
2,1,Computational Thinking,2,2,"A few decades into the digital era, scientists discovered that thinking in terms of computation made possible an entirely new way of organizing scientific investigation; eventually, every field had a computational branch: computational physics, computational biology, computational sociology",0.08407765626907349,0.14914101362228396,0.3939018249511719,0.489233523607254,0.7605418562889099,0.20289039611816406
3,1,Computational Thinking,3,3," More recently, ""computational thinking"" has become part of the K-12 curriculum",0.08308291435241699,0.14908406138420105,0.4053547084331513,0.492012083530426,0.7655535936355591,0.1998043954372406
4,1,Computational Thinking,4,4," But what is computational thinking? This volume in the MIT Press Essential Knowledge series offers an accessible overview, tracing a genealogy that begins centuries before digital computers and portraying computational thinking as pioneers of computing have described it",0.08450838923454285,0.14510855078697205,0.3918424546718597,0.4993249773979187,0.7609959840774536,0.20201659202575686
5,1,Computational Thinking,5,5,"The authors explain that computational thinking (CT) is not a set of concepts for programming; it is a way of thinking that is honed through practice: the mental skills for designing computations to do jobs for us, and for explaining and interpreting the world as a complex of information processes",0.08305022120475769,0.14239326119422913,0.3939060866832733,0.4919491112232208,0.7625108957290649,0.20487134158611295
6,1,Computational Thinking,6,6," Mathematically trained experts (known as ""computers"") who performed complex calculations as teams engaged in CT long before electronic computers",0.08564972877502441,0.14127257466316226,0.3949592709541321,0.4954056441783905,0.7603741884231567,0.2072232961654663
7,1,Computational Thinking,7,7," The authors identify six dimensions of today\'s highly developed CT--methods, machines, computing education, software engineering, computational science, and design--and cover each in a chapter",0.08420071005821228,0.1430256962776184,0.3970836400985718,0.4957195520401001,0.7682040929794312,0.19931593537330627
8,1,Computational Thinking,8,8," Along the way, they debunk inflated claims for CT and computation while making clear the power of CT in all its complexity and multiplicity",0.08323559165000917,0.13750523328781128,0.4051779508590698,0.487666368484497,0.7644533514976501,0.2071630358695984
9,2,This View of Life: Completing the Darwinian Revolution,9,0,['It is widely understood that Charles Darwin\'s theory of evolution completely revolutionized the study of biology,0.08204153180122375,0.15670275688171387,0.39665162563323975,0.493077963590622,0.7595179080963135,0.20696723461151126
10,2,This View of Life: Completing the Darwinian Revolution,10,1," Yet, according to David Sloan Wilson, the Darwinian revolution won\'t be truly complete until it is applied more broadly--to everything associated with the words ""human,"" ""culture,"" and ""policy",0.08172944188117981,0.15287765860557556,0.3885017037391663,0.4884440004825592,0.7585485577583313,0.2044311910867691
11,2,This View of Life: Completing the Darwinian Revolution,11,2,"""In a series of engaging and insightful examples--from the breedingIt is widely understood that Charles Darwin\'s theory of evolution completely revolutionized the study of biology",0.08485111594200134,0.14610978960990906,0.3877330124378204,0.4958164989948273,0.7606536149978638,0.19888202846050265
12,2,This View of Life: Completing the Darwinian Revolution,12,3," Yet, according to David Sloan Wilson, the Darwinian revolution won\'t be truly complete until it is applied more broadly--to everything associated with the words ""human,"" ""culture,"" and ""policy",0.08172944188117981,0.15287765860557556,0.3885017037391663,0.4884440004825592,0.7585485577583313,0.2044311910867691
13,2,This View of Life: Completing the Darwinian Revolution,13,4,"""In a series of engaging and insightful examples--from the breeding of hens to the timing of cataract surgeries to the organization of an automobile plant--Wilson shows how an evolutionary worldview provides a practical tool kit for understanding not only genetic evolution but also the fast-paced changes that are having an impact on our world and ourselves",0.08387359976768494,0.14855846762657166,0.3841930627822876,0.4953663647174835,0.7589352130889893,0.200737938284874
14,2,This View of Life: Completing the Darwinian Revolution,14,5," What emerges is an incredibly empowering argument: If we can become wise managers of evolutionary processes, we can solve the problems of our age at all scales--from the efficacy of our groups to our well-being as individuals to our stewardship of the planet Earth",0.08354169130325317,0.15005767345428467,0.38970229029655457,0.4922491908073425,0.7574159502983093,0.20526397228240967
15,3,Specialization and Trade: A Reintroduction to Economics: An Introduction,15,0,"['Since the end of the second World War, economics professors and classroom textbooks have been telling us that the economy is one big machine that can be effectively regulated by economic experts and tuned by government agencies like the Federal Reserve Board",0.08414438366889954,0.16491663455963135,0.38916054368019104,0.4973244965076447,0.7525684237480164,0.20698873698711395
