,0
000,3.517696472610991
10,4.433987204485146
100,4.028522096376982
11,4.433987204485146
12,4.028522096376982
120,4.433987204485146
18th,4.433987204485146
1950s,4.433987204485146
200,4.433987204485146
2008,4.433987204485146
2009,4.433987204485146
2014,4.433987204485146
2017,4.433987204485146
2017it,4.433987204485146
250,4.433987204485146
75,4.433987204485146
80,4.433987204485146
abilities,4.433987204485146
ability,3.3353749158170367
able,4.028522096376982
abnormal,4.433987204485146
about,1.8312975190407625
above,4.433987204485146
absolute,4.433987204485146
abstraction,4.433987204485146
abuse,4.433987204485146
accelerating,4.433987204485146
accept,3.740840023925201
accepted,4.028522096376982
access,4.433987204485146
accessible,3.517696472610991
accident,4.433987204485146
accidentally,4.433987204485146
accidents,4.433987204485146
acclaimed,3.517696472610991
accommodate,4.433987204485146
accomplishment,4.433987204485146
according,4.028522096376982
accurate,4.028522096376982
achieve,3.740840023925201
achieved,4.433987204485146
achievement,4.028522096376982
achievements,4.028522096376982
acknowledgments,4.433987204485146
across,4.028522096376982
act,4.028522096376982
actionable,4.433987204485146
actions,4.028522096376982
active,4.028522096376982
activities,4.433987204485146
activity,4.433987204485146
actually,2.9299098077088725
acute,4.433987204485146
adam,4.433987204485146
adapt,4.028522096376982
addiction,3.740840023925201
additional,4.433987204485146
address,4.433987204485146
addresses,3.740840023925201
adequate,4.433987204485146
adidas,4.433987204485146
adjustable,4.433987204485146
adler,4.433987204485146
administration,4.433987204485146
adolescence,4.028522096376982
adolescent,4.433987204485146
adopting,4.433987204485146
adrian,4.433987204485146
adults,4.028522096376982
advanced,4.028522096376982
advances,3.740840023925201
advantage,4.433987204485146
advantages,4.433987204485146
adventures,4.433987204485146
adversity,4.433987204485146
advertisers,4.433987204485146
advertising,4.433987204485146
advice,4.028522096376982
affect,3.3353749158170367
affects,4.028522096376982
afflictions,4.433987204485146
afraid,4.433987204485146
after,3.740840023925201
afternoon,4.433987204485146
again,4.028522096376982
against,3.517696472610991
age,3.3353749158170367
ageing,4.433987204485146
agencies,4.433987204485146
agenda,4.433987204485146
agendas,4.433987204485146
aging,4.433987204485146
ago,3.3353749158170367
agreed,4.433987204485146
agricultural,4.433987204485146
ahead,3.3353749158170367
ahrens,4.433987204485146
ai,4.028522096376982
aided,4.433987204485146
aim,4.433987204485146
air,4.433987204485146
airport,4.433987204485146
airtight,4.433987204485146
airtighthow,4.433987204485146
aisle,4.433987204485146
al,4.433987204485146
alan,4.433987204485146
alarming,4.433987204485146
albert,4.433987204485146
alexis,4.433987204485146
alfred,4.433987204485146
algorithms,3.740840023925201
align,4.433987204485146
all,1.949080554697146
alleviate,4.028522096376982
allowing,3.517696472610991
allows,4.028522096376982
almost,4.028522096376982
alogic,4.433987204485146
alone,4.433987204485146
along,3.740840023925201
alongside,4.028522096376982
already,3.740840023925201
also,2.236762627148927
alter,4.433987204485146
altered,4.433987204485146
alternating,4.433987204485146
alternative,4.433987204485146
altogether,4.433987204485146
altruism,4.433987204485146
always,3.181224235989778
amass,4.028522096376982
amazing,4.028522096376982
ambitious,4.028522096376982
america,4.028522096376982
american,3.517696472610991
americans,4.028522096376982
among,3.517696472610991
amount,3.740840023925201
amounts,3.740840023925201
amy,4.433987204485146
an,1.5717863235556777
analysis,3.3353749158170367
analyzing,4.433987204485146
anatomy,4.433987204485146
ancestors,4.028522096376982
and,1.032789822822991
anders,4.433987204485146
andy,4.433987204485146
anecdotes,4.028522096376982
anger,4.433987204485146
animal,4.433987204485146
animals,3.740840023925201
another,3.740840023925201
ans,4.433987204485146
answer,3.181224235989778
answers,3.740840023925201
antaeus,4.433987204485146
anthony,4.433987204485146
anthropology,3.3353749158170367
anthropomorphism,4.433987204485146
antibiotics,4.433987204485146
anticipate,4.433987204485146
anticipated,4.433987204485146
anxieties,4.433987204485146
anxiety,4.028522096376982
any,3.517696472610991
anybody,4.433987204485146
anyone,2.9299098077088725
anything,3.740840023925201
anytime,4.433987204485146
anywhere,4.028522096376982
applications,4.028522096376982
applied,3.517696472610991
applies,4.028522096376982
apply,4.433987204485146
applying,4.433987204485146
appraisal,4.433987204485146
appreciation,4.028522096376982
approach,4.028522096376982
approaches,4.028522096376982
architect,4.433987204485146
arctic,4.433987204485146
are,1.365934269351529
areas,4.028522096376982
aren,3.740840023925201
argue,3.740840023925201
argued,4.433987204485146
argues,3.0476928433652555
arguing,4.433987204485146
argument,4.028522096376982
arguments,4.433987204485146
arms,4.433987204485146
arnold,4.028522096376982
around,2.8245492920510458
array,4.433987204485146
arrive,4.433987204485146
art,3.0476928433652555
artificial,3.0476928433652555
artificihow,4.433987204485146
artistic,4.433987204485146
artists,4.028522096376982
arts,4.028522096376982
as,1.6306268235786114
ashford,4.433987204485146
ashley,4.433987204485146
asia,4.433987204485146
ask,4.433987204485146
asks,4.433987204485146
asocial,4.433987204485146
aspect,3.740840023925201
aspects,3.740840023925201
assault,4.433987204485146
assets,4.433987204485146
associated,4.028522096376982
assume,4.028522096376982
assumed,3.740840023925201
assumption,4.433987204485146
assumptions,4.433987204485146
astonishing,4.433987204485146
astonishingly,4.433987204485146
astrophysicist,4.433987204485146
asymmetry,4.433987204485146
at,1.991640169115942
athletes,3.740840023925201
athletic,4.433987204485146
atomic,4.433987204485146
atoms,4.433987204485146
attack,4.028522096376982
attempts,4.028522096376982
attending,4.433987204485146
attention,4.028522096376982
attewhy,4.433987204485146
attractive,4.433987204485146
attribute,4.433987204485146
attributes,4.433987204485146
augments,4.433987204485146
author,2.236762627148927
authoritarianism,4.433987204485146
authors,3.517696472610991
autobiographical,4.433987204485146
automatic,4.433987204485146
automation,4.433987204485146
automobile,4.433987204485146
autonomous,4.433987204485146
available,4.028522096376982
average,3.740840023925201
avoid,3.740840023925201
award,3.740840023925201
awareness,4.028522096376982
awash,4.433987204485146
away,4.028522096376982
back,3.740840023925201
back9,4.433987204485146
backbone,4.433987204485146
backdoor,4.433987204485146
background,3.740840023925201
backward,4.433987204485146
bad,4.433987204485146
balance,4.028522096376982
bang,4.433987204485146
bankers,4.433987204485146
bar,4.433987204485146
barabasi,4.433987204485146
barack,4.433987204485146
barbell,4.433987204485146
bare,4.433987204485146
bargh,4.433987204485146
barghdr,4.433987204485146
barker,4.433987204485146
barking,4.433987204485146
barrett,4.433987204485146
baseball,4.433987204485146
based,3.517696472610991
basic,4.433987204485146
basis,3.517696472610991
battle,4.433987204485146
be,1.6613984822453651
beat,4.433987204485146
beats,4.433987204485146
beauty,4.433987204485146
because,3.740840023925201
become,2.9299098077088725
becomes,4.433987204485146
been,2.236762627148927
before,3.3353749158170367
began,4.433987204485146
begin,4.028522096376982
beginning,3.740840023925201
begins,4.433987204485146
beginspart,4.433987204485146
behave,4.028522096376982
behaving,4.433987204485146
behavior,3.0476928433652555
behaviors,4.433987204485146
behaviour,4.433987204485146
behind,3.740840023925201
beilock,4.433987204485146
being,3.181224235989778
beings,3.181224235989778
belief,3.740840023925201
beliefs,3.517696472610991
believe,3.517696472610991
believed,4.433987204485146
belong,4.433987204485146
belongs,4.433987204485146
below,4.433987204485146
ben,4.433987204485146
beneficial,4.028522096376982
benefit,3.517696472610991
benefited,4.433987204485146
benefits,4.028522096376982
berets,4.433987204485146
best,2.4190841839428816
bestelling,4.433987204485146
bestseller,3.740840023925201
bestsellers,4.433987204485146
bestselling,2.8245492920510458
better,2.0826119473216687
between,3.0476928433652555
beware,4.433987204485146
beyond,3.517696472610991
beyou,4.433987204485146
bian,4.433987204485146
bias,4.433987204485146
biases,4.433987204485146
big,2.9299098077088725
bigger,4.433987204485146
biggest,3.517696472610991
bigotry,4.433987204485146
